id_be,id_be_akz,handelsname,pharmazeutischer_unternehmer,therapiegebiet,therapiegebiet_atc,therapeutisches_gebiet_text,orphan_drug,atmp,pat_gr_id,wirkstoff_inn,datum_beschluss,patientengruppe,zn_ausmass,zn_wahrscheinlichkeit,zvt_best,quelle_url
40,2012-11-01-D-042,Dacogen,Janssen-Cilag GmbH,onkologische Erkrankungen,Hämatologie,Akute myeloische Leukämie (onkologische Erkrankungen),False,False,60,Decitabin,2013-05-02,"Erwachsene Patienten ab einem Alter von 65 Jahren mit neu diagnostizierter de novo oder sekundärer akuter myeloischer Leukämie (AML) gemäß der Klassifikation der Weltgesundheitsorganisation (WHO), für die eine Standard-Induktionstherapie nicht in Frage kommt",Gering,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/42/
43,2012-12-01-D-037,Adcetris,Takeda Pharma Vertrieb GmbH & Co. KG,onkologische Erkrankungen,Hämatologie,"Hodgkin-Lymphome,anaplastische großzellige Lymphome (onkologische Erkrankungen)",False,False,65,Brentuximab Vedotin,2013-05-16,Erwachsene mit rezidiviertem oder refraktärem CD30+ Hodgkin-Lymphom nach einer autologen Stammzelltransplantation,Nicht quantifizierbar,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/
43,2012-12-01-D-037,Adcetris,Takeda Pharma Vertrieb GmbH & Co. KG,onkologische Erkrankungen,Hämatologie,"Hodgkin-Lymphome,anaplastische großzellige Lymphome (onkologische Erkrankungen)",False,False,66,Brentuximab Vedotin,2013-05-16,Erwachsene mit rezidiviertem oder refraktärem systemischen anaplastischen großzelligen Lymphom,Nicht quantifizierbar,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/
43,2012-12-01-D-037,Adcetris,Takeda Pharma Vertrieb GmbH & Co. KG,onkologische Erkrankungen,Hämatologie,"Hodgkin-Lymphome,anaplastische großzellige Lymphome (onkologische Erkrankungen)",False,False,1673,Brentuximab Vedotin,2013-05-16,"Erwachsene mit rezidiviertem oder refraktärem CD30+ Hodgkin-Lymphom nach mindestens zwei vorangegangenen Therapien, wenn eine autologe Stammzelltransplantation oder eine Kombinationschemotherapie nicht als Behandlungsoption in Frage kommt.",Nicht quantifizierbar,,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/47/
44,2012-12-01-D-044,Pixuvri,CTI Life Sciences Ltd.,onkologische Erkrankungen,Hämatologie,Non-Hodgkin-Lymphome (onkologische Erkrankungen),False,False,67,Pixantron,2013-05-16,Erwachsene Patienten mit mehrfach rezidivierten oder therapierefraktären aggressiven Non-Hodgkin-B-Zell-Lymphomen (NHL),Kein Zusatznutzen belegt,,"Patientenindividuelle Therapie nach Maßgabe des behandelnden Arztes, insbesondere eine Bleomycin-, Cyclophosphamid-, Etoposid-, Ifosfamid-, Methotrexat-, Mitoxantron-, Rituximab-, Trofosfamid-, Vinblastin-, Vincristin-, oder Vindesin-haltige Therapie, sofern unter Berücksichtigung der Vortherapie die Wirkstoffe erneut für eine Behandlung in Frage kommen sowie unter Berücksichtigung des jeweiligen deutschen Zulassungsstatus und der zugelassenen Dosierungen.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/48/
45,2012-12-01-D-047,Trajenta,Boehringer Ingelheim International GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,68,Linagliptin,2013-05-16,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung mit Insulin (mit oder ohne Metformin) den Blutzucker nicht ausreichend kontrollieren",Kein Zusatznutzen belegt,,"die Zweifachkombination von Metformin + Humaninsulin.
(Hinweis: Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist.)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/49/
47,2012-12-15-D-052,Eylea,Bayer Vital GmbH,Augenerkrankungen,Ophthalmologie,neovaskuläre altersabhängige Makuladegeneration (Augenerkrankungen),False,False,73,Aflibercept,2013-06-06,Erwachsene mit neovaskulärer (feuchter) altersbedingter Makuladegeneration.,Kein Zusatznutzen belegt,,Ranibizumab,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/50/
51,2013-01-01-D-053,Eliquis,Bristol-Myers Squibb GmbH & Co. KGaA / Pfizer Deutschland GmbH,Krankheiten des Blutes und der blutbildenden Organe,Kardiologie,Prophylaxe von Schlaganfällen (Krankheiten des Blutes und der blutbildenden Organe),False,False,74,Apixaban,2013-06-20,"Erwachsene Patienten mit nicht-valvulärem Vorhofflimmern (NVAF) und einem oder mehreren Risikofaktoren, wie Schlaganfall oder TIA (transitorischer ischämischer Attacke) in der Anamnese, Alter ≥75 Jahren, Hypertonie, Diabetes mellitus, symptomatische Herzinsuffizienz (NYHA Klasse ≥II) (Prophylaxe von Schlaganfällen und systemischen Embolien)",Gering,Hinweis,Vitamin-K-Antagonisten,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/57/
53,2013-01-15-D-051,Dificlir,Astellas Pharma GmbH,Infektionskrankheiten,Gastroenterologie,Clostridium difficile Infektion (Infektionskrankheiten),False,False,76,Fidaxomicin,2013-07-04,Erwachsene Patienten mit milden behandlungspflichtigen Krankheitsverläufen von Clostridium-difficile-assoziierten Diarrhöen,Kein Zusatznutzen belegt,,Metronidazol,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/59/
53,2013-01-15-D-051,Dificlir,Astellas Pharma GmbH,Infektionskrankheiten,Gastroenterologie,Clostridium difficile Infektion (Infektionskrankheiten),False,False,77,Fidaxomicin,2013-07-04,Erwachsene Patienten mit schweren und/oder rekurrenten Krankheitsverläufen von Clostridium-difficile-assoziierten Diarrhöen,Beträchtlich,Beleg,Vancomycin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/59/
54,2013-01-15-D-056,Zytiga,Janssen-Cilag GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,78,Abirateronacetat,2013-07-04,"Erwachsene Männer mit metastasiertem kastrationsresistentem Prostatakarzinom und asymptomatischem oder mild symptomatischem Verlauf der Erkrankung nach Versagen der Androgenentzugstherapie, bei denen eine Chemotherapie noch nicht klinisch indiziert ist",Beträchtlich,Hinweis,"Das abwartende Vorgehen unter Beibehaltung der bestehenden konventionellen Androgendeprivation oder gegebenenfalls die kombinierte, maximale Androgenblockade mit einem nichtsteroidalen Antiandrogen (Flutamid, Bicalutamid).",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/60/
55,2013-03-01-D-058,Zaltrap,Sanofi-Aventis Deutschland GmbH,onkologische Erkrankungen,Onkologie,metastasiertes kolorektales Karzinom (onkologische Erkrankungen),False,False,79,Aflibercept,2013-08-15,"Erwachsene mit metastasiertem kolorektalem Karzinom (mCRC), das unter oder nach einem Oxaliplatin-haltigen Regime fortgeschritten ist",Gering,Hinweis,"Kombinations-Chemotherapie aus 5-Fluorouracil, Folinsäure und Irinotecan",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/61/
57,2013-03-15-D-061,Lyxumia,Sanofi-Aventis Deutschland GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,81,Lixisenatid,2013-09-05,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Metformin den Blutzucker zusammen mit einer Diät und Bewegung nicht ausreichend senkt",Kein Zusatznutzen belegt,,Sulfonylharnstoff (Glibenclamid oder Glimepirid) + Metformin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/
57,2013-03-15-D-061,Lyxumia,Sanofi-Aventis Deutschland GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,82,Lixisenatid,2013-09-05,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn ein orales Antidiabetikum (außer Metformin) den Blutzucker zusammen mit einer Diät und Bewegung nicht ausreichend senkt",Kein Zusatznutzen belegt,,"Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid)
(Hinweis: Wenn Metformin gemäß Fachinformation nicht geeignet ist, ist Humaninsulin als Therapieoption einzusetzen)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/
57,2013-03-15-D-061,Lyxumia,Sanofi-Aventis Deutschland GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,83,Lixisenatid,2013-09-05,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn zwei orale Antidiabetika zusammen mit einer Diät und Bewegung den Blutzucker nicht ausreichend senken",Kein Zusatznutzen belegt,,"Metformin + Humaninsulin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/
57,2013-03-15-D-061,Lyxumia,Sanofi-Aventis Deutschland GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,84,Lixisenatid,2013-09-05,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Basalinsulin (mit oder ohne Metformin) zusammen mit einer Diät und Bewegung den Blutzucker nicht ausreichend senkt",Kein Zusatznutzen belegt,,"Metformin + Humaninsulin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/63/
58,2013-04-01-D-048,Zomarist,Novartis Pharma GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,85,Vildagliptin/Metformin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, deren Blutzucker trotz  Monotherapie mit der maximal verträglichen Dosis von Metformin  alleine unzureichend eingestellt ist",Kein Zusatznutzen belegt,,Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/
58,2013-04-01-D-048,Zomarist,Novartis Pharma GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,86,Vildagliptin/Metformin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Diät und Bewegung zusätzlich  zu einer Zweifachtherapie aus Sulfonylharnstoff und Metformin  zu keiner adäquaten glykämischen Kontrolle führen",Kein Zusatznutzen belegt,,"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist.)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/
58,2013-04-01-D-048,Zomarist,Novartis Pharma GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,87,Vildagliptin/Metformin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Diät und Bewegung  zusätzlich zu einer stabilen Insulindosis und Metformin allein  zu keiner adäquaten glykämischen Kontrolle führen",Kein Zusatznutzen belegt,,"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist.)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/53/
59,2013-04-01-D-049,Galvus,Novartis Pharma GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,88,Vildagliptin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Diät und Bewegung  zusätzlich zu einer Zweifachtherapie aus Sulfonylharnstoff und Metformin  zu keiner adäquaten glykämischen Kontrolle führen",Kein Zusatznutzen belegt,,"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin nicht ausreichend wirksam ist)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/
59,2013-04-01-D-049,Galvus,Novartis Pharma GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,89,Vildagliptin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, wenn Diät und Bewegung  zusätzlich zu einer stabilen Insulindosis (mit und ohne Metformin) , zu keiner adäquaten glykämischen Kontrolle führen",Kein Zusatznutzen belegt,,"Humaninsulin + Metformin
(Hinweis: ggf. Therapie nur mit Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder nicht ausreichend wirksam ist).",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/
59,2013-04-01-D-049,Galvus,Novartis Pharma GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,90,Vildagliptin,2013-10-01,"Erwachsene Patienten mit Diabetes mellitus Typ 2, die durch Diät und Bewegung allein nicht ausreichend therapiert sind und für die Metformin aufgrund von Gegenanzeigen oder Unverträglichkeiten nicht geeignet ist",Kein Zusatznutzen belegt,,Sulfonylharnstoff (Glibenclamid oder Glimepirid),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/54/
